,ssec,wti,ine
2019/5/16,1.46E-02,1.46E-02,1.64E-02
2019/5/17,1.10E-02,1.59E-02,1.69E-02
2019/5/18,1.82E-02,1.52E-02,1.82E-02
2019/5/19,1.69E-02,1.47E-02,1.90E-02
2019/5/20,1.36E-02,1.43E-02,1.96E-02
2019/5/21,1.02E-02,1.41E-02,2.01E-02
2019/5/22,1.13E-02,1.38E-02,1.74E-02
2019/5/23,9.29E-03,1.78E-02,1.65E-02
2019/5/24,1.17E-02,2.70E-02,2.37E-02
2019/5/25,8.91E-03,2.60E-02,3.97E-02
2019/5/26,8.17E-03,2.48E-02,3.61E-02
2019/5/27,9.36E-03,2.35E-02,2.83E-02
2019/5/28,1.17E-02,2.21E-02,2.07E-02
2019/5/29,9.73E-03,2.08E-02,1.91E-02
2019/5/30,8.05E-03,1.94E-02,1.63E-02
2019/5/31,7.50E-03,2.45E-02,1.50E-02
2019/6/1,7.18E-03,3.22E-02,3.73E-02
2019/6/2,7.09E-03,3.39E-02,4.61E-02
2019/6/3,7.08E-03,3.28E-02,5.23E-02
2019/6/4,7.11E-03,3.03E-02,5.79E-02
2019/6/5,9.22E-03,2.78E-02,4.43E-02
2019/6/6,7.75E-03,2.88E-02,2.89E-02
2019/6/7,1.04E-02,2.89E-02,2.52E-02
2019/6/8,9.32E-03,2.87E-02,1.92E-02
2019/6/9,7.86E-03,2.69E-02,1.76E-02
2019/6/10,7.50E-03,2.48E-02,2.33E-02
2019/6/11,8.89E-03,2.32E-02,3.32E-02
2019/6/12,0.017942354,0.021586966,0.023364854
2019/6/13,1.27E-02,2.60E-02,2.14E-02
2019/6/14,9.44E-03,2.54E-02,1.72E-02
2019/6/15,1.01E-02,2.34E-02,1.65E-02
2019/6/16,8.99E-03,2.17E-02,1.56E-02
2019/6/17,7.75E-03,2.03E-02,1.49E-02
2019/6/18,7.22E-03,1.95E-02,1.45E-02
2019/6/19,6.93E-03,2.46E-02,3.38E-02
2019/6/20,9.11E-03,2.28E-02,2.45E-02
2019/6/21,1.68E-02,3.18E-02,2.23E-02
2019/6/22,1.20E-02,2.93E-02,2.81E-02
2019/6/23,9.44E-03,2.70E-02,2.81E-02
2019/6/24,8.08E-03,2.49E-02,2.65E-02
2019/6/25,7.37E-03,2.31E-02,2.43E-02
2019/6/26,8.91E-03,2.23E-02,2.00E-02
2019/6/27,7.71E-03,2.28E-02,2.16E-02
2019/6/28,8.34E-03,2.11E-02,1.78E-02
2019/6/29,8.30E-03,2.14E-02,1.93E-02
2019/6/30,7.64E-03,2.03E-02,1.72E-02
2019/7/1,1.07E-02,1.90E-02,1.54E-02
2019/7/2,1.63E-02,1.85E-02,1.56E-02
2019/7/3,1.13E-02,2.57E-02,1.54E-02
2019/7/4,1.06E-02,2.50E-02,2.76E-02
2019/7/5,8.66E-03,2.34E-02,2.02E-02
2019/7/6,7.60E-03,2.18E-02,1.67E-02
2019/7/7,8.50E-03,2.04E-02,1.65E-02
2019/7/8,1.30E-02,1.91E-02,1.90E-02
2019/7/9,1.92E-02,1.80E-02,2.29E-02
2019/7/10,1.30E-02,1.76E-02,1.86E-02
2019/7/11,9.97E-03,2.38E-02,1.60E-02
2019/7/12,8.11E-03,2.20E-02,3.41E-02
2019/7/13,7.78E-03,2.05E-02,2.40E-02
2019/7/14,7.62E-03,1.92E-02,1.84E-02
2019/7/15,7.53E-03,1.84E-02,1.60E-02
2019/7/16,7.47E-03,1.83E-02,1.59E-02
2019/7/17,7.07E-03,2.24E-02,1.57E-02
2019/7/18,6.96E-03,2.20E-02,3.05E-02
2019/7/19,9.53E-03,2.20E-02,3.12E-02
2019/7/20,9.36E-03,2.07E-02,2.60E-02
2019/7/21,7.84E-03,1.96E-02,2.03E-02
2019/7/22,8.08E-03,1.86E-02,1.67E-02
2019/7/23,1.09E-02,1.79E-02,1.79E-02
2019/7/24,9.01E-03,1.82E-02,1.97E-02
2019/7/25,9.20E-03,1.83E-02,1.95E-02
2019/7/26,8.33E-03,1.72E-02,1.74E-02
2019/7/27,7.52E-03,1.64E-02,1.61E-02
2019/7/28,7.07E-03,1.59E-02,1.50E-02
2019/7/29,6.84E-03,1.58E-02,1.47E-02
2019/7/30,6.80E-03,1.63E-02,1.53E-02
